dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
4.44,-2.56,10.24,0.73,False
0.09,-5.05,6.69,0.37,False
8.03,-2.08,3.72,-2.19,False
0.09,-2.77,3.43,7.21,False
4.44,-2.11,10.81,-1.66,False
0.09,-3.8,5.31,1.53,False
4.24,-2.03,8.54,-2.34,False
2.82,-2.32,3.77,-4.96,False
2.42,-5.26,7.06,4.69,False
2.82,-2.31,3.84,-4.64,False
9.32,-0.07,5.48,-3.86,False
4.58,0.27,3.49,-1.1,False
0.1,-3.05,3.81,6.89,False
8.17,-1.91,6.73,-3.79,False
4.24,-2.25,8.51,-2.49,False
5.82,-2.09,4.52,-1.24,False
0.1,-0.1,2.0,4.59,False
3.84,-2.08,6.11,-6.37,False
3.96,-2.33,5.21,-6.56,False
9.55,0.0,-0.49,2.31,False
0.87,-0.08,5.39,3.9,False
0.67,-0.25,4.1,6.99,False
0.67,-0.57,4.79,6.75,False
8.32,-2.74,11.79,1.19,False
9.55,0.0,-0.49,2.31,False
9.88,-2.83,9.31,-0.94,False
0.67,-1.69,9.99,-0.02,False
10.61,0.0,3.35,-1.01,False
3.74,-0.4,1.37,1.8,False
4.46,-0.26,1.02,2.34,False
0.08,-4.99,6.22,4.8,False
0.72,-5.37,7.24,3.65,False
2.52,-3.92,4.23,-0.42,False
2.94,-5.17,6.36,2.16,False
8.45,-2.75,7.15,-4.11,False
0.4,-3.78,5.09,1.14,False
0.09,-5.55,6.32,4.73,False
4.24,-2.91,9.94,0.38,False
4.17,0.25,1.84,0.79,False
0.08,-5.1,6.36,4.63,False
2.89,-5.1,4.97,1.53,False
0.1,-3.2,12.41,4.34,False
0.09,-2.77,3.43,7.21,False
2.65,-2.21,3.08,-5.22,False
8.15,0.0,1.79,2.14,False
9.17,-2.48,9.25,-1.92,False
11.83,0.0,2.65,0.45,False
1.22,-4.29,13.35,1.12,False
0.09,-2.61,4.87,0.1,False
5.68,-3.63,13.12,2.16,False
6.23,-3.63,12.16,1.44,False
11.26,0.0,5.65,3.1,False
11.95,-2.52,8.66,-2.49,False
8.6,0.0,-0.5,2.32,False
6.76,-2.31,12.14,0.98,False
2.22,-0.71,7.67,5.95,False
0.09,-3.43,2.5,6.64,False
4.05,-2.91,10.31,0.45,False
0.09,-3.71,12.66,5.28,False
2.65,-3.07,6.86,-5.54,False
0.06,-3.86,5.1,1.43,False
7.26,-1.68,3.31,-2.92,False
4.44,-2.25,8.61,-2.47,False
3.94,-1.97,4.36,-1.41,False
4.64,-2.19,10.97,-1.59,False
4.24,-2.11,10.82,-1.66,False
0.09,-4.07,8.51,-4.43,False
3.94,-1.97,4.36,-1.41,False
2.89,-4.1,4.18,0.45,False
4.46,-0.26,1.02,2.34,False
2.52,-4.34,4.21,-0.47,False
9.17,-3.01,13.4,-0.17,False
12.22,0.0,3.39,-1.01,False
11.83,0.0,2.65,0.45,False
0.1,-5.05,6.29,4.72,False
17.8,-3.99,7.76,-4.72,False
4.05,-2.91,10.31,0.45,False
4.03,0.83,1.81,0.75,False
2.82,-2.3,3.92,-4.66,False
5.71,0.09,1.98,0.69,False
6.27,0.1,1.87,1.04,False
5.62,-2.02,8.49,-2.3,False
11.45,0.01,4.78,-3.9,False
0.09,-3.81,5.36,1.39,False
7.09,-2.1,3.76,-2.14,False
6.2,0.07,2.0,0.7,False
5.62,-2.55,10.0,0.71,False
10.93,0.11,5.03,-1.06,False
11.49,0.1,5.74,-3.35,False
0.72,-5.37,7.24,3.65,False
5.55,-5.73,7.01,0.59,False
0.1,-3.2,12.41,4.34,False
0.1,-3.85,5.51,-2.26,False
9.18,-0.49,1.36,2.32,False
0.1,-3.06,8.52,-4.43,False
0.08,-2.42,5.02,0.23,False
9.15,-1.91,10.85,0.74,False
3.06,-1.99,8.95,-0.92,False
11.16,-1.23,9.12,1.96,False
1.88,-2.27,10.03,0.47,False
0.1,-0.03,0.95,4.95,False
5.23,-1.77,3.78,-2.45,False
2.67,-2.2,11.04,-1.6,False
2.52,-2.48,4.59,-0.75,False
5.28,-4.21,6.44,-2.08,False
