dist_nearest_edge,trench_abs_ortho,conv_ortho,conv_paral,label
7.22,-2.79,11.64,-3.8,True
7.87,-2.8,11.49,-3.68,True
7.87,-2.8,11.49,-3.68,True
7.87,-2.8,11.49,-3.68,True
7.22,-2.79,11.64,-3.8,True
0.08,-2.39,4.97,0.19,True
0.09,-2.5,5.13,0.34,True
0.09,-2.5,5.13,0.34,True
0.09,-2.5,5.13,0.34,True
0.08,-2.39,4.97,0.19,True
0.08,-2.39,4.97,0.19,True
0.08,-2.39,4.97,0.19,True
1.47,-1.82,3.99,-1.48,True
1.47,-1.82,3.99,-1.48,True
5.23,-1.77,3.77,-2.4,True
5.23,-1.77,3.77,-2.4,True
5.23,-1.77,3.77,-2.4,True
5.95,-1.79,3.87,-2.2,True
0.09,-2.5,5.13,0.34,True
0.09,-2.5,5.13,0.34,True
0.09,-2.5,5.13,0.34,True
10.63,0.16,5.05,-1.01,True
5.18,-3.96,9.28,-5.18,True
4.63,-3.92,9.13,-5.76,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
5.51,-3.75,9.12,-1.2,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
6.6,-0.48,5.11,-0.35,True
0.1,-0.1,2.04,4.59,True
0.1,-0.1,2.04,4.59,True
2.77,-3.88,9.46,-1.36,True
2.96,-3.88,9.46,-1.36,True
2.77,-3.88,9.46,-1.36,True
2.77,-3.88,9.46,-1.36,True
0.09,-4.07,8.51,-4.43,True
1.33,-2.37,4.54,-4.66,True
1.33,-2.37,4.54,-4.66,True
1.29,-2.89,11.71,0.31,True
1.03,-3.97,11.88,-1.14,True
10.88,-1.68,9.28,-0.65,True
6.22,-2.96,13.25,0.27,True
